date,opponent,is_home,goals_for,goals_against,win
2022-09-24,PHI,0,1,2,0
2022-09-27,NYR,1,3,2,1
2022-10-01,PHI,1,4,0,1
2022-10-03,NJD,0,0,1,0
2022-10-05,NYR,0,5,4,1
2022-10-08,NJD,1,3,5,0
2022-10-12,WSH,0,5,2,1
2022-10-15,ARI,1,6,3,1
2022-10-17,FLA,1,5,3,1
2022-10-18,OTT,0,5,7,0
2022-10-20,ANA,1,2,1,1
2022-10-22,MIN,1,4,3,1
2022-10-25,DAL,1,3,1,1
2022-10-27,DET,1,5,1,1
2022-10-28,CBJ,0,4,0,1
2022-11-01,PIT,0,6,5,1
2022-11-03,NYR,0,5,2,1
2022-11-05,TOR,0,1,2,0
2022-11-07,STL,1,3,1,1
2022-11-10,CGY,1,3,1,1
2022-11-12,BUF,0,3,1,1
2022-11-13,VAN,1,5,2,1
2022-11-17,PHI,1,4,1,1
2022-11-19,CHI,1,6,1,1
2022-11-21,TBL,0,5,3,1
2022-11-23,FLA,0,2,5,0
2022-11-25,CAR,1,3,2,1
2022-11-29,TBL,1,3,1,1
2022-12-03,COL,1,5,1,1
2022-12-05,VGK,1,3,4,0
2022-12-07,COL,0,4,0,1
2022-12-09,ARI,0,3,4,0
2022-12-11,VGK,0,3,1,1
2022-12-13,NYI,1,4,3,1
2022-12-15,LAK,1,2,3,0
2022-12-17,CBJ,1,4,2,1
2022-12-19,FLA,1,7,3,1
2022-12-22,WPG,1,3,2,1
2022-12-23,NJD,0,4,3,1
2022-12-27,OTT,0,2,3,0
2022-12-28,NJD,0,3,1,1
2022-12-31,BUF,1,3,4,0
2023-01-02,PIT,1,2,1,1
2023-01-05,LAK,0,5,2,1
2023-01-07,SJS,0,4,2,1
2023-01-08,ANA,0,7,1,1
2023-01-12,SEA,1,0,3,0
2023-01-14,TOR,1,4,3,1
2023-01-16,PHI,1,6,0,1
2023-01-18,NYI,0,4,1,1
2023-01-19,NYR,0,3,1,1
2023-01-22,SJS,1,4,0,1
2023-01-24,MTL,0,4,2,1
2023-01-26,TBL,0,2,3,0
2023-01-28,FLA,0,3,4,0
2023-01-29,CAR,0,1,4,0
